channel,mpv_V,bootstrap_std_V,bin_low_V,bin_high_V,entries,tied_peak_bins
0,0.025813149847090235,0.0,0.02065302535891532,0.03097327433526515,96572,1
1,0.03613339882344006,6.950487719684559e-18,0.03097327433526515,0.04129352331161498,133582,1
2,0.025813149847090235,0.0,0.02065302535891532,0.03097327433526515,337996,1
3,0.025813149847090235,0.0015605467496313994,0.02065302535891532,0.03097327433526515,117413,1
4,0.0464536477997899,6.950487719684559e-18,0.04129352331161498,0.051613772287964814,192328,1
5,0.025813149847090235,0.0,0.02065302535891532,0.03097327433526515,212699,1
6,0.03613339882344006,6.950487719684559e-18,0.03097327433526515,0.04129352331161498,366959,1
7,0.03613339882344006,6.950487719684559e-18,0.03097327433526515,0.04129352331161498,663308,1
8,0.025813149847090235,0.0,0.02065302535891532,0.03097327433526515,1156180,1
9,0.03613339882344006,6.950487719684559e-18,0.03097327433526515,0.04129352331161498,941897,1
