# left_edge,right_edge,count; x_origin=0; unit=dimensionless
0.0022736320239504721,18.957774438930159,1202299
18.957774438930159,37.913275245836367,1504562
37.913275245836367,56.868776052742575,809676
56.868776052742575,75.824276859648791,320691
75.824276859648791,94.779777666554992,141142
94.779777666554992,113.73527847346121,69478
113.73527847346121,132.69077928036742,38224
132.69077928036742,151.64628008727362,23452
151.64628008727362,170.60178089417983,16321
170.60178089417983,189.55728170108603,12243
189.55728170108603,208.51278250799226,9537
208.51278250799226,227.46828331489846,7906
227.46828331489846,246.42378412180466,6373
246.42378412180466,265.37928492871089,5431
265.37928492871089,284.33478573561706,4678
284.33478573561706,303.29028654252329,4098
303.29028654252329,322.24578734942952,3493
322.24578734942952,341.20128815633569,3131
341.20128815633569,360.15678896324192,2717
360.15678896324192,379.1122897701481,2432
379.1122897701481,398.06779057705432,2178
398.06779057705432,417.02329138396055,1899
417.02329138396055,435.97879219086673,1802
435.97879219086673,454.93429299777296,1589
454.93429299777296,473.88979380467919,1488
473.88979380467919,492.84529461158536,1353
492.84529461158536,511.80079541849159,1304
511.80079541849159,530.75629622539782,1165
530.75629622539782,549.71179703230405,1143
549.71179703230405,568.66729783921016,1124
568.66729783921016,587.62279864611639,1040
587.62279864611639,606.57829945302262,962
606.57829945302262,625.53380025992885,1018
625.53380025992885,644.48930106683508,965
644.48930106683508,663.4448018737412,901
663.4448018737412,682.40030268064743,873
682.40030268064743,701.35580348755366,862
701.35580348755366,720.31130429445989,781
720.31130429445989,739.26680510136612,767
739.26680510136612,758.22230590827223,753
758.22230590827223,777.17780671517846,671
777.17780671517846,796.13330752208469,625
796.13330752208469,815.08880832899092,618
815.08880832899092,834.04430913589715,534
834.04430913589715,852.99980994280338,540
852.99980994280338,871.9553107497095,483
871.9553107497095,890.91081155661573,413
890.91081155661573,909.86631236352196,392
909.86631236352196,928.82181317042819,357
928.82181317042819,947.77731397733442,305
947.77731397733442,966.73281478424053,245
966.73281478424053,985.68831559114676,261
985.68831559114676,1004.643816398053,232
1004.643816398053,1023.5993172049592,196
1023.5993172049592,1042.5548180118653,197
1042.5548180118653,1061.5103188187716,146
1061.5103188187716,1080.4658196256778,129
1080.4658196256778,1099.421320432584,104
1099.421320432584,1118.37682123949,92
1118.37682123949,1137.3323220463963,88
1137.3323220463963,1156.2878228533025,63
1156.2878228533025,1175.2433236602087,62
1175.2433236602087,1194.1988244671149,40
1194.1988244671149,1213.1543252740212,39
1213.1543252740212,1232.1098260809274,35
1232.1098260809274,1251.0653268878336,30
1251.0653268878336,1270.0208276947399,22
1270.0208276947399,1288.9763285016461,33
1288.9763285016461,1307.9318293085523,21
1307.9318293085523,1326.8873301154583,17
1326.8873301154583,1345.8428309223646,12
1345.8428309223646,1364.7983317292708,10
1364.7983317292708,1383.753832536177,9
1383.753832536177,1402.7093333430832,12
1402.7093333430832,1421.6648341499895,9
1421.6648341499895,1440.6203349568957,4
1440.6203349568957,1459.5758357638019,7
1459.5758357638019,1478.5313365707082,7
1478.5313365707082,1497.4868373776144,4
1497.4868373776144,1516.4423381845204,3
1516.4423381845204,1535.3978389914266,0
1535.3978389914266,1554.3533397983329,2
1554.3533397983329,1573.3088406052391,1
1573.3088406052391,1592.2643414121453,1
1592.2643414121453,1611.2198422190515,1
1611.2198422190515,1630.1753430259578,1
1630.1753430259578,1649.130843832864,2
1649.130843832864,1668.0863446397702,1
1668.0863446397702,1687.0418454466765,1
1687.0418454466765,1705.9973462535827,0
1705.9973462535827,1724.9528470604887,0
1724.9528470604887,1743.9083478673949,1
1743.9083478673949,1762.8638486743012,2
1762.8638486743012,1781.8193494812074,0
1781.8193494812074,1800.7748502881136,0
1800.7748502881136,1819.7303510950198,0
1819.7303510950198,1838.6858519019261,0
1838.6858519019261,1857.6413527088323,2
1857.6413527088323,1876.5968535157385,0
1876.5968535157385,1895.5523543226445,1
