# left_edge,right_edge,count; x_origin=0; unit=ps (stored)
0,0.0074999999999999997,1000820
0.0074999999999999997,0.014999999999999999,0
0.014999999999999999,0.022499999999999999,0
0.022499999999999999,0.029999999999999999,0
0.029999999999999999,0.037499999999999999,0
0.037499999999999999,0.044999999999999998,0
0.044999999999999998,0.052499999999999998,0
0.052499999999999998,0.059999999999999998,0
0.059999999999999998,0.067500000000000004,0
0.067500000000000004,0.074999999999999997,0
0.074999999999999997,0.08249999999999999,0
0.08249999999999999,0.089999999999999997,0
0.089999999999999997,0.097500000000000003,0
0.097500000000000003,0.105,0
0.105,0.11249999999999999,0
0.11249999999999999,0.12,0
0.12,0.1275,0
0.1275,0.13500000000000001,0
0.13500000000000001,0.14249999999999999,0
0.14249999999999999,0.14999999999999999,0
0.14999999999999999,0.1575,0
0.1575,0.16499999999999998,0
0.16499999999999998,0.17249999999999999,0
0.17249999999999999,0.17999999999999999,0
0.17999999999999999,0.1875,0
0.1875,0.19500000000000001,0
0.19500000000000001,0.20249999999999999,0
0.20249999999999999,0.20999999999999999,0
0.20999999999999999,0.2175,0
0.2175,0.22499999999999998,0
0.22499999999999998,0.23249999999999998,0
0.23249999999999998,0.23999999999999999,0
0.23999999999999999,0.2475,0
0.2475,0.255,1145153
0.255,0.26250000000000001,0
0.26250000000000001,0.27000000000000002,0
0.27000000000000002,0.27749999999999997,0
0.27749999999999997,0.28499999999999998,0
0.28499999999999998,0.29249999999999998,0
0.29249999999999998,0.29999999999999999,0
0.29999999999999999,0.3075,0
0.3075,0.315,0
0.315,0.32250000000000001,0
0.32250000000000001,0.32999999999999996,0
0.32999999999999996,0.33749999999999997,0
0.33749999999999997,0.34499999999999997,0
0.34499999999999997,0.35249999999999998,0
0.35249999999999998,0.35999999999999999,0
0.35999999999999999,0.36749999999999999,0
0.36749999999999999,0.375,0
0.375,0.38250000000000001,0
0.38250000000000001,0.39000000000000001,0
0.39000000000000001,0.39749999999999996,0
0.39749999999999996,0.40499999999999997,0
0.40499999999999997,0.41249999999999998,0
0.41249999999999998,0.41999999999999998,0
0.41999999999999998,0.42749999999999999,0
0.42749999999999999,0.435,0
0.435,0.4425,0
0.4425,0.44999999999999996,0
0.44999999999999996,0.45749999999999996,0
0.45749999999999996,0.46499999999999997,0
0.46499999999999997,0.47249999999999998,0
0.47249999999999998,0.47999999999999998,0
0.47999999999999998,0.48749999999999999,0
0.48749999999999999,0.495,0
0.495,0.50249999999999995,984845
0.50249999999999995,0.51000000000000001,0
0.51000000000000001,0.51749999999999996,0
0.51749999999999996,0.52500000000000002,0
0.52500000000000002,0.53249999999999997,0
0.53249999999999997,0.54000000000000004,0
0.54000000000000004,0.54749999999999999,0
0.54749999999999999,0.55499999999999994,0
0.55499999999999994,0.5625,0
0.5625,0.56999999999999995,0
0.56999999999999995,0.57750000000000001,0
0.57750000000000001,0.58499999999999996,0
0.58499999999999996,0.59250000000000003,0
0.59250000000000003,0.59999999999999998,0
0.59999999999999998,0.60749999999999993,0
0.60749999999999993,0.61499999999999999,0
0.61499999999999999,0.62249999999999994,0
0.62249999999999994,0.63,0
0.63,0.63749999999999996,0
0.63749999999999996,0.64500000000000002,0
0.64500000000000002,0.65249999999999997,0
0.65249999999999997,0.65999999999999992,0
0.65999999999999992,0.66749999999999998,0
0.66749999999999998,0.67499999999999993,0
0.67499999999999993,0.6825,0
0.6825,0.68999999999999995,0
0.68999999999999995,0.69750000000000001,0
0.69750000000000001,0.70499999999999996,0
0.70499999999999996,0.71250000000000002,0
0.71250000000000002,0.71999999999999997,0
0.71999999999999997,0.72749999999999992,0
0.72749999999999992,0.73499999999999999,0
0.73499999999999999,0.74249999999999994,0
0.74249999999999994,0.75,1088335
