# left_edge,right_edge,count; x_origin=0; unit=
0,655.35000000000002,42282
655.35000000000002,1310.7,42246
1310.7,1966.0500000000002,42509
1966.0500000000002,2621.4000000000001,41956
2621.4000000000001,3276.75,42019
3276.75,3932.1000000000004,42295
3932.1000000000004,4587.4499999999998,42010
4587.4499999999998,5242.8000000000002,42271
5242.8000000000002,5898.1500000000005,42311
5898.1500000000005,6553.5,42519
6553.5,7208.8500000000004,42557
7208.8500000000004,7864.2000000000007,42300
7864.2000000000007,8519.5500000000011,42621
8519.5500000000011,9174.8999999999996,42637
9174.8999999999996,9830.25,41979
9830.25,10485.6,42473
10485.6,11140.950000000001,42347
11140.950000000001,11796.300000000001,42373
11796.300000000001,12451.65,42034
12451.65,13107,42466
13107,13762.35,42023
13762.35,14417.700000000001,42254
14417.700000000001,15073.050000000001,42141
15073.050000000001,15728.400000000001,42077
15728.400000000001,16383.75,42142
16383.75,17039.100000000002,42261
17039.100000000002,17694.450000000001,42394
17694.450000000001,18349.799999999999,42030
18349.799999999999,19005.150000000001,42018
19005.150000000001,19660.5,42099
19660.5,20315.850000000002,42201
20315.850000000002,20971.200000000001,42252
20971.200000000001,21626.549999999999,41823
21626.549999999999,22281.900000000001,42414
22281.900000000001,22937.25,41895
22937.25,23592.600000000002,42086
23592.600000000002,24247.950000000001,42318
24247.950000000001,24903.299999999999,42596
24903.299999999999,25558.650000000001,42428
25558.650000000001,26214,41926
26214,26869.350000000002,42340
26869.350000000002,27524.700000000001,42082
27524.700000000001,28180.049999999999,42404
28180.049999999999,28835.400000000001,42229
28835.400000000001,29490.75,41799
29490.75,30146.100000000002,42233
30146.100000000002,30801.450000000001,42270
30801.450000000001,31456.800000000003,42165
31456.800000000003,32112.150000000001,41840
32112.150000000001,32767.5,42111
32767.5,33422.849999999999,41838
33422.849999999999,34078.200000000004,42188
34078.200000000004,34733.550000000003,42166
34733.550000000003,35388.900000000001,42000
35388.900000000001,36044.25,42150
36044.25,36699.599999999999,42296
36699.599999999999,37354.950000000004,42319
37354.950000000004,38010.300000000003,42038
38010.300000000003,38665.650000000001,41887
38665.650000000001,39321,42247
39321,39976.349999999999,42224
39976.349999999999,40631.700000000004,42131
40631.700000000004,41287.050000000003,42090
41287.050000000003,41942.400000000001,42321
41942.400000000001,42597.75,42465
42597.75,43253.099999999999,42397
43253.099999999999,43908.450000000004,42513
43908.450000000004,44563.800000000003,41938
44563.800000000003,45219.150000000001,41746
45219.150000000001,45874.5,42341
45874.5,46529.849999999999,42138
46529.849999999999,47185.200000000004,41919
47185.200000000004,47840.550000000003,42214
47840.550000000003,48495.900000000001,41826
48495.900000000001,49151.25,41959
49151.25,49806.599999999999,42113
49806.599999999999,50461.950000000004,42496
50461.950000000004,51117.300000000003,42134
51117.300000000003,51772.650000000001,42119
51772.650000000001,52428,42185
52428,53083.349999999999,42260
53083.349999999999,53738.700000000004,42129
53738.700000000004,54394.050000000003,42071
54394.050000000003,55049.400000000001,41993
55049.400000000001,55704.75,42272
55704.75,56360.099999999999,41958
56360.099999999999,57015.450000000004,41966
57015.450000000004,57670.800000000003,42240
57670.800000000003,58326.150000000001,42717
58326.150000000001,58981.5,42090
58981.5,59636.849999999999,42334
59636.849999999999,60292.200000000004,41885
60292.200000000004,60947.550000000003,42120
60947.550000000003,61602.900000000001,41785
61602.900000000001,62258.25,42573
62258.25,62913.600000000006,42075
62913.600000000006,63568.950000000004,42622
63568.950000000004,64224.300000000003,41753
64224.300000000003,64879.650000000001,42573
64879.650000000001,65535,42283
