# left_edge,right_edge,count; x_origin=0; unit=V
0.00029228080192924627,0.0062203522385335481,122362
0.0062203522385335481,0.01214842367513785,4372
0.01214842367513785,0.018076495111742155,4499
0.018076495111742155,0.024004566548346457,920
0.024004566548346457,0.029932637984950758,25
0.029932637984950758,0.035860709421555059,26
0.035860709421555059,0.041788780858159361,59
0.041788780858159361,0.047716852294763662,104
0.047716852294763662,0.053644923731367963,130
0.053644923731367963,0.059572995167972265,142
0.059572995167972265,0.06550106660457658,147
0.06550106660457658,0.071429138041180881,153
0.071429138041180881,0.077357209477785183,119
0.077357209477785183,0.083285280914389484,110
0.083285280914389484,0.089213352350993785,75
0.089213352350993785,0.095141423787598087,64
0.095141423787598087,0.10106949522420239,53
0.10106949522420239,0.10699756666080669,56
0.10699756666080669,0.11292563809741099,44
0.11292563809741099,0.11885370953401529,22
0.11885370953401529,0.12478178097061959,21
0.12478178097061959,0.13070985240722391,6
0.13070985240722391,0.1366379238438282,0
0.1366379238438282,0.14256599528043251,1
0.14256599528043251,0.1484940667170368,1
0.1484940667170368,0.15442213815364111,4
0.15442213815364111,0.1603502095902454,1
0.1603502095902454,0.16627828102684972,0
0.16627828102684972,0.172206352463454,2
0.172206352463454,0.17813442390005832,1
0.17813442390005832,0.18406249533666261,1
0.18406249533666261,0.18999056677326692,1
0.18999056677326692,0.19591863820987124,0
0.19591863820987124,0.20184670964647553,0
0.20184670964647553,0.20777478108307984,0
0.20777478108307984,0.21370285251968413,0
0.21370285251968413,0.21963092395628844,2
0.21963092395628844,0.22555899539289273,3
0.22555899539289273,0.23148706682949705,2
0.23148706682949705,0.23741513826610133,3
0.23741513826610133,0.24334320970270565,1
0.24334320970270565,0.24927128113930994,3
0.24927128113930994,0.2551993525759142,2
0.2551993525759142,0.26112742401251854,5
0.26112742401251854,0.26705549544912283,4
0.26705549544912283,0.27298356688572711,8
0.27298356688572711,0.2789116383223314,5
0.2789116383223314,0.28483970975893574,6
0.28483970975893574,0.29076778119554003,2
0.29076778119554003,0.29669585263214432,1
0.29669585263214432,0.30262392406874866,1
0.30262392406874866,0.30855199550535295,2
0.30855199550535295,0.31448006694195724,2
0.31448006694195724,0.32040813837856152,0
0.32040813837856152,0.32633620981516587,1
0.32633620981516587,0.33226428125177015,1
0.33226428125177015,0.33819235268837444,2
0.33819235268837444,0.34412042412497873,0
0.34412042412497873,0.35004849556158307,0
0.35004849556158307,0.35597656699818736,0
0.35597656699818736,0.36190463843479165,2
0.36190463843479165,0.36783270987139594,0
0.36783270987139594,0.37376078130800028,0
0.37376078130800028,0.37968885274460457,2
0.37968885274460457,0.38561692418120885,0
0.38561692418120885,0.3915449956178132,1
0.3915449956178132,0.39747306705441748,1
0.39747306705441748,0.40340113849102177,1
0.40340113849102177,0.40932920992762606,1
0.40932920992762606,0.4152572813642304,1
0.4152572813642304,0.42118535280083469,0
0.42118535280083469,0.42711342423743898,0
0.42711342423743898,0.43304149567404326,0
0.43304149567404326,0.43896956711064761,0
0.43896956711064761,0.44489763854725189,0
0.44489763854725189,0.45082570998385618,0
0.45082570998385618,0.45675378142046047,0
0.45675378142046047,0.46268185285706481,1
0.46268185285706481,0.4686099242936691,0
0.4686099242936691,0.47453799573027339,0
0.47453799573027339,0.48046606716687773,0
0.48046606716687773,0.48639413860348202,0
0.48639413860348202,0.49232221004008631,0
0.49232221004008631,0.49825028147669059,0
0.49825028147669059,0.50417835291329494,1
0.50417835291329494,0.51010642434989917,0
0.51010642434989917,0.51603449578650351,0
0.51603449578650351,0.52196256722310785,0
0.52196256722310785,0.52789063865971209,0
0.52789063865971209,0.53381871009631643,0
0.53381871009631643,0.53974678153292077,0
0.53974678153292077,0.545674852969525,0
0.545674852969525,0.55160292440612935,0
0.55160292440612935,0.55753099584273358,0
0.55753099584273358,0.56345906727933792,0
0.56345906727933792,0.56938713871594226,0
0.56938713871594226,0.5753152101525465,0
0.5753152101525465,0.58124328158915084,0
0.58124328158915084,0.58717135302575518,0
0.58717135302575518,0.59309942446235941,0
