# left_edge,right_edge,count; x_origin=0; unit=
1,1.6299999999999999,49942
1.6299999999999999,2.2599999999999998,51404
2.2599999999999998,2.8900000000000001,0
2.8900000000000001,3.52,59870
3.52,4.1500000000000004,51460
4.1500000000000004,4.7800000000000002,0
4.7800000000000002,5.4100000000000001,59880
5.4100000000000001,6.04,59088
6.04,6.6699999999999999,0
6.6699999999999999,7.2999999999999998,66921
7.2999999999999998,7.9299999999999997,0
7.9299999999999997,8.5600000000000005,51029
8.5600000000000005,9.1899999999999995,56480
9.1899999999999995,9.8200000000000003,0
9.8200000000000003,10.449999999999999,48777
10.449999999999999,11.08,49483
11.08,11.710000000000001,0
11.710000000000001,12.34,62915
12.34,12.970000000000001,0
12.970000000000001,13.6,65767
13.6,14.23,60276
14.23,14.859999999999999,0
14.859999999999999,15.49,64463
15.49,16.120000000000001,60347
16.120000000000001,16.75,0
16.75,17.379999999999999,55533
17.379999999999999,18.010000000000002,54813
18.010000000000002,18.640000000000001,0
18.640000000000001,19.27,51513
19.27,19.899999999999999,0
19.899999999999999,20.530000000000001,66551
20.530000000000001,21.16,60434
21.16,21.789999999999999,0
21.789999999999999,22.420000000000002,55550
22.420000000000002,23.050000000000001,67401
23.050000000000001,23.68,0
23.68,24.309999999999999,54022
24.309999999999999,24.940000000000001,0
24.940000000000001,25.57,75022
25.57,26.199999999999999,66388
26.199999999999999,26.830000000000002,0
26.830000000000002,27.460000000000001,83367
27.460000000000001,28.09,63119
28.09,28.719999999999999,0
28.719999999999999,29.350000000000001,62745
29.350000000000001,29.98,0
29.98,30.609999999999999,55680
30.609999999999999,31.240000000000002,59165
31.240000000000002,31.870000000000001,0
31.870000000000001,32.5,52204
32.5,33.130000000000003,51152
33.130000000000003,33.759999999999998,0
33.759999999999998,34.390000000000001,57752
34.390000000000001,35.020000000000003,67221
35.020000000000003,35.649999999999999,0
35.649999999999999,36.280000000000001,69096
36.280000000000001,36.910000000000004,0
36.910000000000004,37.539999999999999,71673
37.539999999999999,38.170000000000002,77106
38.170000000000002,38.799999999999997,0
38.799999999999997,39.43,100661
39.43,40.060000000000002,73680
40.060000000000002,40.689999999999998,0
40.689999999999998,41.32,79254
41.32,41.950000000000003,0
41.950000000000003,42.579999999999998,75858
42.579999999999998,43.210000000000001,88544
43.210000000000001,43.840000000000003,0
43.840000000000003,44.469999999999999,60565
44.469999999999999,45.100000000000001,71681
45.100000000000001,45.729999999999997,0
45.729999999999997,46.359999999999999,61440
46.359999999999999,46.990000000000002,0
46.990000000000002,47.619999999999997,60877
47.619999999999997,48.25,48597
48.25,48.880000000000003,0
48.880000000000003,49.509999999999998,48775
49.509999999999998,50.140000000000001,42923
50.140000000000001,50.770000000000003,0
50.770000000000003,51.399999999999999,67425
51.399999999999999,52.030000000000001,70561
52.030000000000001,52.660000000000004,0
52.660000000000004,53.289999999999999,99792
53.289999999999999,53.920000000000002,0
53.920000000000002,54.549999999999997,86629
54.549999999999997,55.18,113940
55.18,55.810000000000002,0
55.810000000000002,56.439999999999998,99001
56.439999999999998,57.07,112011
57.07,57.700000000000003,0
57.700000000000003,58.329999999999998,77905
58.329999999999998,58.960000000000001,0
58.960000000000001,59.590000000000003,93419
59.590000000000003,60.219999999999999,71436
60.219999999999999,60.850000000000001,0
60.850000000000001,61.480000000000004,68194
61.480000000000004,62.109999999999999,53256
62.109999999999999,62.740000000000002,0
62.740000000000002,63.369999999999997,50883
63.369999999999997,64,46237
