# left_edge,right_edge,count; x_origin=0; unit=ns
0.0037864270159708724,0.036395957388213954,6
0.036395957388213954,0.069005487760457035,3
0.069005487760457035,0.10161501813270012,8
0.10161501813270012,0.1342245485049432,15
0.1342245485049432,0.16683407887718626,11
0.16683407887718626,0.19944360924942936,15
0.19944360924942936,0.23205313962167246,24
0.23205313962167246,0.26466266999391552,23
0.26466266999391552,0.29727220036615859,18
0.29727220036615859,0.32988173073840166,24
0.32988173073840166,0.36249126111064478,17
0.36249126111064478,0.39510079148288785,24
0.39510079148288785,0.42771032185513091,74
0.42771032185513091,0.46031985222737404,135
0.46031985222737404,0.49292938259961711,142
0.49292938259961711,0.52553891297186017,128
0.52553891297186017,0.5581484433441033,122
0.5581484433441033,0.59075797371634631,155
0.59075797371634631,0.62336750408858943,205
0.62336750408858943,0.65597703446083244,284
0.65597703446083244,0.68858656483307557,376
0.68858656483307557,0.72119609520531869,740
0.72119609520531869,0.7538056255775617,3017
0.7538056255775617,0.78641515594980482,19302
0.78641515594980482,0.81902468632204795,102556
0.81902468632204795,0.85163421669429096,265216
0.85163421669429096,0.88424374706653408,319102
0.88424374706653408,0.9168532774387772,269269
0.9168532774387772,0.94946280781102022,247462
0.94946280781102022,0.98207233818326334,312078
0.98207233818326334,1.0146818685555063,353816
1.0146818685555063,1.0472913989277495,293203
1.0472913989277495,1.0799009292999926,218457
1.0799009292999926,1.1125104596722357,181225
1.1125104596722357,1.1451199900444786,200698
1.1451199900444786,1.1777295204167217,237648
1.1777295204167217,1.2103390507889649,226033
1.2103390507889649,1.242948581161208,176538
1.242948581161208,1.2755581115334511,127515
1.2755581115334511,1.308167641905694,91353
1.308167641905694,1.3407771722779371,67138
1.3407771722779371,1.3733867026501803,51601
1.3733867026501803,1.4059962330224234,40078
1.4059962330224234,1.4386057633946665,31722
1.4386057633946665,1.4712152937669096,25649
1.4712152937669096,1.5038248241391525,21361
1.5038248241391525,1.5364343545113957,18717
1.5364343545113957,1.5690438848836388,16716
1.5690438848836388,1.6016534152558819,15391
1.6016534152558819,1.634262945628125,14394
1.634262945628125,1.6668724760003679,13197
1.6668724760003679,1.699482006372611,11938
1.699482006372611,1.7320915367448542,10792
1.7320915367448542,1.7647010671170973,10045
1.7647010671170973,1.7973105974893404,9394
1.7973105974893404,1.8299201278615835,8687
1.8299201278615835,1.8625296582338264,8162
1.8625296582338264,1.8951391886060696,7740
1.8951391886060696,1.9277487189783127,7492
1.9277487189783127,1.9603582493505558,7101
1.9603582493505558,1.9929677797227989,6590
1.9929677797227989,2.0255773100950418,6158
2.0255773100950418,2.0581868404672852,5640
2.0581868404672852,2.0907963708395281,4897
2.0907963708395281,2.123405901211771,4321
2.123405901211771,2.1560154315840143,3725
2.1560154315840143,2.1886249619562572,3275
2.1886249619562572,2.2212344923285006,2791
2.2212344923285006,2.2538440227007435,2248
2.2538440227007435,2.2864535530729864,1871
2.2864535530729864,2.3190630834452297,1597
2.3190630834452297,2.3516726138174726,1291
2.3516726138174726,2.384282144189716,1025
2.384282144189716,2.4168916745619589,867
2.4168916745619589,2.4495012049342018,739
2.4495012049342018,2.4821107353064451,668
2.4821107353064451,2.514720265678688,540
2.514720265678688,2.5473297960509313,485
2.5473297960509313,2.5799393264231743,443
2.5799393264231743,2.6125488567954172,383
2.6125488567954172,2.6451583871676605,351
2.6451583871676605,2.6777679175399034,364
2.6777679175399034,2.7103774479121467,294
2.7103774479121467,2.7429869782843896,256
2.7429869782843896,2.775596508656633,219
2.775596508656633,2.8082060390288759,199
2.8082060390288759,2.8408155694011188,195
2.8408155694011188,2.8734250997733621,159
2.8734250997733621,2.906034630145605,137
2.906034630145605,2.9386441605178484,135
2.9386441605178484,2.9712536908900913,100
2.9712536908900913,3.0038632212623342,89
3.0038632212623342,3.0364727516345775,117
3.0364727516345775,3.0690822820068204,70
3.0690822820068204,3.1016918123790638,80
3.1016918123790638,3.1343013427513067,38
3.1343013427513067,3.1669108731235496,31
3.1669108731235496,3.1995204034957929,25
3.1995204034957929,3.2321299338680358,18
3.2321299338680358,3.2647394642402787,16
