# left_edge,right_edge,count; x_origin=0; unit=dimensionless
0.0022736320239504721,18.957774438930159,220668
18.957774438930159,37.913275245836367,567839
37.913275245836367,56.868776052742575,213822
56.868776052742575,75.824276859648791,74481
75.824276859648791,94.779777666554992,29242
94.779777666554992,113.73527847346121,13475
113.73527847346121,132.69077928036742,7074
132.69077928036742,151.64628008727362,4505
151.64628008727362,170.60178089417983,3162
170.60178089417983,189.55728170108603,2585
189.55728170108603,208.51278250799226,2052
208.51278250799226,227.46828331489846,1769
227.46828331489846,246.42378412180466,1398
246.42378412180466,265.37928492871089,1202
265.37928492871089,284.33478573561706,1043
284.33478573561706,303.29028654252329,865
303.29028654252329,322.24578734942952,771
322.24578734942952,341.20128815633569,679
341.20128815633569,360.15678896324192,570
360.15678896324192,379.1122897701481,551
379.1122897701481,398.06779057705432,478
398.06779057705432,417.02329138396055,407
417.02329138396055,435.97879219086673,401
435.97879219086673,454.93429299777296,370
454.93429299777296,473.88979380467919,323
473.88979380467919,492.84529461158536,317
492.84529461158536,511.80079541849159,277
511.80079541849159,530.75629622539782,275
530.75629622539782,549.71179703230405,266
549.71179703230405,568.66729783921016,250
568.66729783921016,587.62279864611639,229
587.62279864611639,606.57829945302262,238
606.57829945302262,625.53380025992885,216
625.53380025992885,644.48930106683508,212
644.48930106683508,663.4448018737412,193
663.4448018737412,682.40030268064743,213
682.40030268064743,701.35580348755366,209
701.35580348755366,720.31130429445989,204
720.31130429445989,739.26680510136612,186
739.26680510136612,758.22230590827223,219
758.22230590827223,777.17780671517846,197
777.17780671517846,796.13330752208469,189
796.13330752208469,815.08880832899092,191
815.08880832899092,834.04430913589715,170
834.04430913589715,852.99980994280338,200
852.99980994280338,871.9553107497095,200
871.9553107497095,890.91081155661573,157
890.91081155661573,909.86631236352196,168
909.86631236352196,928.82181317042819,166
928.82181317042819,947.77731397733442,128
947.77731397733442,966.73281478424053,128
966.73281478424053,985.68831559114676,138
985.68831559114676,1004.643816398053,115
1004.643816398053,1023.5993172049592,102
1023.5993172049592,1042.5548180118653,112
1042.5548180118653,1061.5103188187716,78
1061.5103188187716,1080.4658196256778,74
1080.4658196256778,1099.421320432584,44
1099.421320432584,1118.37682123949,44
1118.37682123949,1137.3323220463963,45
1137.3323220463963,1156.2878228533025,31
1156.2878228533025,1175.2433236602087,41
1175.2433236602087,1194.1988244671149,32
1194.1988244671149,1213.1543252740212,24
1213.1543252740212,1232.1098260809274,26
1232.1098260809274,1251.0653268878336,16
1251.0653268878336,1270.0208276947399,16
1270.0208276947399,1288.9763285016461,21
1288.9763285016461,1307.9318293085523,16
1307.9318293085523,1326.8873301154583,12
1326.8873301154583,1345.8428309223646,4
1345.8428309223646,1364.7983317292708,5
1364.7983317292708,1383.753832536177,6
1383.753832536177,1402.7093333430832,9
1402.7093333430832,1421.6648341499895,8
1421.6648341499895,1440.6203349568957,4
1440.6203349568957,1459.5758357638019,4
1459.5758357638019,1478.5313365707082,5
1478.5313365707082,1497.4868373776144,3
1497.4868373776144,1516.4423381845204,2
1516.4423381845204,1535.3978389914266,0
1535.3978389914266,1554.3533397983329,2
1554.3533397983329,1573.3088406052391,0
1573.3088406052391,1592.2643414121453,1
1592.2643414121453,1611.2198422190515,0
1611.2198422190515,1630.1753430259578,1
1630.1753430259578,1649.130843832864,1
1649.130843832864,1668.0863446397702,1
1668.0863446397702,1687.0418454466765,1
1687.0418454466765,1705.9973462535827,0
1705.9973462535827,1724.9528470604887,0
1724.9528470604887,1743.9083478673949,1
1743.9083478673949,1762.8638486743012,2
1762.8638486743012,1781.8193494812074,0
1781.8193494812074,1800.7748502881136,0
1800.7748502881136,1819.7303510950198,0
1819.7303510950198,1838.6858519019261,0
1838.6858519019261,1857.6413527088323,2
1857.6413527088323,1876.5968535157385,0
1876.5968535157385,1895.5523543226445,1
