# left_edge,right_edge,count; x_origin=0; unit=V
0.0057154148817062378,0.022161930352449417,188076
0.022161930352449417,0.038608445823192596,1287798
0.038608445823192596,0.055054961293935778,1055457
0.055054961293935778,0.071501476764678953,584608
0.071501476764678953,0.087947992235422129,366751
0.087947992235422129,0.10439450770616532,234819
0.10439450770616532,0.12084102317690849,144238
0.12084102317690849,0.13728753864765167,85982
0.13728753864765167,0.15373405411839486,53025
0.15373405411839486,0.17018056958913802,34483
0.17018056958913802,0.18662708505988121,24404
0.18662708505988121,0.2030736005306244,18504
0.2030736005306244,0.21952011600136756,14540
0.21952011600136756,0.23596663147211075,12040
0.23596663147211075,0.25241314694285388,10264
0.25241314694285388,0.2688596624135971,8714
0.2688596624135971,0.28530617788434026,7617
0.28530617788434026,0.30175269335508348,6706
0.30175269335508348,0.31819920882582664,5830
0.31819920882582664,0.3346457242965698,5368
0.3346457242965698,0.35109223976731302,4695
0.35109223976731302,0.36753875523805618,4211
0.36753875523805618,0.38398527070879934,3742
0.38398527070879934,0.40043178617954256,3434
0.40043178617954256,0.41687830165028572,2960
0.41687830165028572,0.43332481712102888,2740
0.43332481712102888,0.44977133259177204,2509
0.44977133259177204,0.46621784806251526,2236
0.46621784806251526,0.48266436353325842,1994
0.48266436353325842,0.49911087900400158,1982
0.49911087900400158,0.5155573944747448,1745
0.5155573944747448,0.53200390994548796,1583
0.53200390994548796,0.54845042541623112,1555
0.54845042541623112,0.56489694088697429,1414
0.56489694088697429,0.58134345635771745,1341
0.58134345635771745,0.59778997182846072,1213
0.59778997182846072,0.61423648729920388,1130
0.61423648729920388,0.63068300276994704,1135
0.63068300276994704,0.6471295182406902,1077
0.6471295182406902,0.66357603371143337,1041
0.66357603371143337,0.68002254918217653,1087
0.68002254918217653,0.6964690646529198,1027
0.6964690646529198,0.71291558012366296,1100
0.71291558012366296,0.72936209559440612,1186
0.72936209559440612,0.74580861106514929,1336
0.74580861106514929,0.76225512653589245,1542
0.76225512653589245,0.77870164200663561,1485
0.77870164200663561,0.79514815747737888,1126
0.79514815747737888,0.81159467294812204,1256
0.81159467294812204,0.8280411884188652,1085
0.8280411884188652,0.84448770388960837,1224
0.84448770388960837,0.86093421936035153,1403
0.86093421936035153,0.87738073483109469,1465
0.87738073483109469,0.89382725030183785,1453
0.89382725030183785,0.91027376577258112,1436
0.91027376577258112,0.92672028124332428,1386
0.92672028124332428,0.94316679671406745,916
0.94316679671406745,0.95961331218481061,572
0.95961331218481061,0.97605982765555377,523
0.97605982765555377,0.99250634312629693,706
0.99250634312629693,1.0089528585970402,906
1.0089528585970402,1.0253993740677834,690
1.0253993740677834,1.0418458895385265,332
1.0418458895385265,1.0582924050092697,108
1.0582924050092697,1.0747389204800128,40
1.0747389204800128,1.091185435950756,26
1.091185435950756,1.1076319514214992,25
1.1076319514214992,1.1240784668922423,14
1.1240784668922423,1.1405249823629855,20
1.1405249823629855,1.1569714978337287,21
1.1569714978337287,1.173418013304472,16
1.173418013304472,1.1898645287752152,15
1.1898645287752152,1.2063110442459584,13
1.2063110442459584,1.2227575597167015,16
1.2227575597167015,1.2392040751874447,17
1.2392040751874447,1.2556505906581878,27
1.2556505906581878,1.272097106128931,41
1.272097106128931,1.2885436215996742,49
1.2885436215996742,1.3049901370704173,65
1.3049901370704173,1.3214366525411605,82
1.3214366525411605,1.3378831680119037,65
1.3378831680119037,1.3543296834826468,62
1.3543296834826468,1.37077619895339,62
1.37077619895339,1.3872227144241334,48
1.3872227144241334,1.4036692298948765,39
1.4036692298948765,1.4201157453656197,21
1.4201157453656197,1.4365622608363628,20
1.4365622608363628,1.453008776307106,8
1.453008776307106,1.4694552917778492,4
1.4694552917778492,1.4859018072485923,2
1.4859018072485923,1.5023483227193355,3
1.5023483227193355,1.5187948381900787,10
1.5187948381900787,1.5352413536608218,1
1.5352413536608218,1.551687869131565,4
1.551687869131565,1.5681343846023081,2
1.5681343846023081,1.5845809000730515,0
1.5845809000730515,1.6010274155437947,2
1.6010274155437947,1.6174739310145378,0
1.6174739310145378,1.633920446485281,0
1.633920446485281,1.6503669619560242,2
