# left_edge,right_edge,count; x_origin=0; unit=
0,20.469999999999999,44567
20.469999999999999,40.939999999999998,41295
40.939999999999998,61.409999999999997,42125
61.409999999999997,81.879999999999995,42370
81.879999999999995,102.34999999999999,42251
102.34999999999999,122.81999999999999,40487
122.81999999999999,143.28999999999999,44878
143.28999999999999,163.75999999999999,41440
163.75999999999999,184.22999999999999,43568
184.22999999999999,204.69999999999999,41735
204.69999999999999,225.16999999999999,42356
225.16999999999999,245.63999999999999,40703
245.63999999999999,266.11000000000001,42008
266.11000000000001,286.57999999999998,40892
286.57999999999998,307.04999999999995,45078
307.04999999999995,327.51999999999998,41363
327.51999999999998,347.99000000000001,39824
347.99000000000001,368.45999999999998,45335
368.45999999999998,388.92999999999995,40913
388.92999999999995,409.39999999999998,41356
409.39999999999998,429.87,40815
429.87,450.33999999999997,42949
450.33999999999997,470.80999999999995,41018
470.80999999999995,491.27999999999997,43899
491.27999999999997,511.75,42089
511.75,532.22000000000003,43863
532.22000000000003,552.68999999999994,41666
552.68999999999994,573.15999999999997,41840
573.15999999999997,593.63,41793
593.63,614.09999999999991,41639
614.09999999999991,634.56999999999994,40394
634.56999999999994,655.03999999999996,44862
655.03999999999996,675.50999999999999,41280
675.50999999999999,695.98000000000002,40204
695.98000000000002,716.44999999999993,44796
716.44999999999993,736.91999999999996,41662
736.91999999999996,757.38999999999999,41524
757.38999999999999,777.8599999999999,41466
777.8599999999999,798.32999999999993,42022
798.32999999999993,818.79999999999995,41214
818.79999999999995,839.26999999999998,44567
839.26999999999998,859.74000000000001,40739
859.74000000000001,880.20999999999992,45212
880.20999999999992,900.67999999999995,40757
900.67999999999995,921.14999999999998,41636
921.14999999999998,941.61999999999989,41032
941.61999999999989,962.08999999999992,43106
962.08999999999992,982.55999999999995,40985
982.55999999999995,1003.03,44196
1003.03,1023.5,41532
1023.5,1043.97,41702
1043.97,1064.4400000000001,44363
1064.4400000000001,1084.9099999999999,41388
1084.9099999999999,1105.3799999999999,43181
1105.3799999999999,1125.8499999999999,41390
1125.8499999999999,1146.3199999999999,42040
1146.3199999999999,1166.79,41443
1166.79,1187.26,45464
1187.26,1207.73,40083
1207.73,1228.1999999999998,44426
1228.1999999999998,1248.6699999999998,41755
1248.6699999999998,1269.1399999999999,41907
1269.1399999999999,1289.6099999999999,41591
1289.6099999999999,1310.0799999999999,42008
1310.0799999999999,1330.55,41272
1330.55,1351.02,44588
1351.02,1371.49,40112
1371.49,1391.96,41459
1391.96,1412.4299999999998,44787
1412.4299999999998,1432.8999999999999,40499
1432.8999999999999,1453.3699999999999,41601
1453.3699999999999,1473.8399999999999,41634
1473.8399999999999,1494.3099999999999,41903
1494.3099999999999,1514.78,41083
1514.78,1535.25,44123
1535.25,1555.7199999999998,42189
1555.7199999999998,1576.1899999999998,44347
1576.1899999999998,1596.6599999999999,41062
1596.6599999999999,1617.1299999999999,42912
1617.1299999999999,1637.5999999999999,40693
1637.5999999999999,1658.0699999999999,41440
1658.0699999999999,1678.54,40690
1678.54,1699.01,44981
1699.01,1719.48,40072
1719.48,1739.9499999999998,41064
1739.9499999999998,1760.4199999999998,44613
1760.4199999999998,1780.8899999999999,40861
1780.8899999999999,1801.3599999999999,42210
1801.3599999999999,1821.8299999999999,41012
1821.8299999999999,1842.3,42781
1842.3,1862.77,41236
1862.77,1883.2399999999998,43704
1883.2399999999998,1903.7099999999998,41187
1903.7099999999998,1924.1799999999998,45055
1924.1799999999998,1944.6499999999999,40733
1944.6499999999999,1965.1199999999999,41908
1965.1199999999999,1985.5899999999999,42156
1985.5899999999999,2006.0599999999999,41736
2006.0599999999999,2026.53,41180
2026.53,2047,44228
