# left_edge,right_edge,count; x_origin=0; unit=V
0.24678897857666016,0.2599387037754059,199839
0.2599387037754059,0.27308842897415159,1283979
0.27308842897415159,0.28623815417289733,1175309
0.28623815417289733,0.29938787937164307,624430
0.29938787937164307,0.31253760457038882,321410
0.31253760457038882,0.3256873297691345,178238
0.3256873297691345,0.33883705496788025,105241
0.33883705496788025,0.35198678016662599,65829
0.35198678016662599,0.36513650536537168,43876
0.36513650536537168,0.37828623056411742,30578
0.37828623056411742,0.39143595576286316,22615
0.39143595576286316,0.40458568096160885,17384
0.40458568096160885,0.41773540616035465,14202
0.41773540616035465,0.43088513135910034,11620
0.43088513135910034,0.44403485655784608,10008
0.44403485655784608,0.45718458175659182,8689
0.45718458175659182,0.47033430695533751,7591
0.47033430695533751,0.48348403215408325,6732
0.48348403215408325,0.496633757352829,6025
0.496633757352829,0.50978348255157468,5433
0.50978348255157468,0.52293320775032037,4770
0.52293320775032037,0.53608293294906617,4371
0.53608293294906617,0.54923265814781197,3984
0.54923265814781197,0.56238238334655755,3661
0.56238238334655755,0.57553210854530334,3407
0.57553210854530334,0.58868183374404914,3057
0.58868183374404914,0.60183155894279472,2807
0.60183155894279472,0.61498128414154052,2602
0.61498128414154052,0.62813100934028632,2402
0.62813100934028632,0.641280734539032,2225
0.641280734539032,0.65443045973777769,2106
0.65443045973777769,0.66758018493652349,1920
0.66758018493652349,0.68072991013526918,1789
0.68072991013526918,0.69387963533401487,1578
0.69387963533401487,0.70702936053276066,1529
0.70702936053276066,0.72017908573150635,1384
0.72017908573150635,0.73332881093025204,1378
0.73332881093025204,0.74647853612899784,1259
0.74647853612899784,0.75962826132774353,1164
0.75962826132774353,0.77277798652648921,1128
0.77277798652648921,0.78592771172523501,1031
0.78592771172523501,0.7990774369239807,1001
0.7990774369239807,0.81222716212272639,967
0.81222716212272639,0.82537688732147219,905
0.82537688732147219,0.83852661252021787,864
0.83852661252021787,0.85167633771896367,843
0.85167633771896367,0.86482606291770936,846
0.86482606291770936,0.87797578811645505,810
0.87797578811645505,0.89112551331520085,827
0.89112551331520085,0.90427523851394653,809
0.90427523851394653,0.91742496371269222,791
0.91742496371269222,0.93057468891143802,781
0.93057468891143802,0.94372441411018371,825
0.94372441411018371,0.95687413930892939,837
0.95687413930892939,0.97002386450767519,1003
0.97002386450767519,0.98317358970642088,1088
0.98317358970642088,0.99632331490516657,1282
0.99632331490516657,1.0094730401039125,1489
1.0094730401039125,1.0226227653026581,995
1.0226227653026581,1.0357724905014039,1116
1.0357724905014039,1.0489222157001494,1127
1.0489222157001494,1.0620719408988952,1152
1.0620719408988952,1.075221666097641,1509
1.075221666097641,1.0883713912963868,1883
1.0883713912963868,1.1015211164951324,2456
1.1015211164951324,1.1146708416938782,2396
1.1146708416938782,1.1278205668926238,1132
1.1278205668926238,1.1409702920913696,194
1.1409702920913696,1.1541200172901154,14
1.1541200172901154,1.1672697424888612,17
1.1672697424888612,1.180419467687607,31
1.180419467687607,1.1935691928863525,28
1.1935691928863525,1.2067189180850981,35
1.2067189180850981,1.2198686432838439,29
1.2198686432838439,1.2330183684825897,59
1.2330183684825897,1.2461680936813355,72
1.2461680936813355,1.2593178188800811,62
1.2593178188800811,1.2724675440788269,77
1.2724675440788269,1.2856172692775727,18
1.2856172692775727,1.2987669944763183,14
1.2987669944763183,1.3119167196750641,14
1.3119167196750641,1.3250664448738099,18
1.3250664448738099,1.3382161700725554,15
1.3382161700725554,1.3513658952713012,22
1.3513658952713012,1.364515620470047,17
1.364515620470047,1.3776653456687926,12
1.3776653456687926,1.3908150708675384,14
1.3908150708675384,1.4039647960662842,8
1.4039647960662842,1.4171145212650298,11
1.4171145212650298,1.4302642464637756,6
1.4302642464637756,1.4434139716625214,8
1.4434139716625214,1.4565636968612672,5
1.4565636968612672,1.4697134220600128,8
1.4697134220600128,1.4828631472587586,5
1.4828631472587586,1.4960128724575044,5
1.4960128724575044,1.5091625976562499,14
1.5091625976562499,1.5223123228549957,2
1.5223123228549957,1.5354620480537415,0
1.5354620480537415,1.5486117732524871,0
1.5486117732524871,1.5617614984512329,5
