# left_edge,right_edge,count; x_origin=0; unit=ns
3.4375002532141306,3.4702507475957263,13
3.4702507475957263,3.503001241977322,10
3.503001241977322,3.5357517363589177,15
3.5357517363589177,3.5685022307405134,32
3.5685022307405134,3.6012527251221091,37
3.6012527251221091,3.6340032195037049,44
3.6340032195037049,3.6667537138853006,42
3.6667537138853006,3.6995042082668963,75
3.6995042082668963,3.7322547026484925,118
3.7322547026484925,3.7650051970300882,137
3.7650051970300882,3.7977556914116839,142
3.7977556914116839,3.8305061857932796,275
3.8305061857932796,3.8632566801748753,396
3.8632566801748753,3.8960071745564711,635
3.8960071745564711,3.9287576689380668,668
3.9287576689380668,3.9615081633196625,921
3.9615081633196625,3.9942586577012582,1393
3.9942586577012582,4.0270091520828544,1949
4.0270091520828544,4.0597596464644496,2842
4.0597596464644496,4.0925101408460458,2612
4.0925101408460458,4.1252606352276411,3678
4.1252606352276411,4.1580111296092372,4565
4.1580111296092372,4.1907616239908325,5773
4.1907616239908325,4.2235121183724287,6702
4.2235121183724287,4.256262612754024,6252
4.256262612754024,4.2890131071356201,7556
4.2890131071356201,4.3217636015172154,8433
4.3217636015172154,4.3545140958988116,9869
4.3545140958988116,4.3872645902804068,9335
4.3872645902804068,4.420015084662003,8776
4.420015084662003,4.4527655790435983,9387
4.4527655790435983,4.4855160734251944,10747
4.4855160734251944,4.5182665678067906,11395
4.5182665678067906,4.5510170621883859,9557
4.5510170621883859,4.5837675565699811,8542
4.5837675565699811,4.6165180509515773,9179
4.6165180509515773,4.6492685453331735,10660
4.6492685453331735,4.6820190397147687,10652
4.6820190397147687,4.7147695340963649,7106
4.7147695340963649,4.7475200284779602,6325
4.7475200284779602,4.7802705228595563,6625
4.7802705228595563,4.8130210172411516,6989
4.8130210172411516,4.8457715116227478,5325
4.8457715116227478,4.8785220060043439,2843
4.8785220060043439,4.9112725003859392,2711
4.9112725003859392,4.9440229947675345,2665
4.9440229947675345,4.9767734891491306,2354
4.9767734891491306,5.0095239835307268,1263
5.0095239835307268,5.0422744779123221,847
5.0422744779123221,5.0750249722939174,963
5.0750249722939174,5.1077754666755135,793
5.1077754666755135,5.1405259610571097,461
5.1405259610571097,5.173276455438705,340
5.173276455438705,5.2060269498203011,238
5.2060269498203011,5.2387774442018964,220
5.2387774442018964,5.2715279385834926,156
5.2715279385834926,5.3042784329650878,127
5.3042784329650878,5.337028927346684,105
5.337028927346684,5.3697794217282793,85
5.3697794217282793,5.4025299161098754,81
5.4025299161098754,5.4352804104914707,66
5.4352804104914707,5.4680309048730669,49
5.4680309048730669,5.500781399254663,41
5.500781399254663,5.5335318936362583,39
5.5335318936362583,5.5662823880178536,26
5.5662823880178536,5.5990328823994497,15
5.5990328823994497,5.6317833767810459,16
5.6317833767810459,5.6645338711626412,21
5.6645338711626412,5.6972843655442365,16
5.6972843655442365,5.7300348599258326,9
5.7300348599258326,5.7627853543074288,4
5.7627853543074288,5.795535848689024,12
5.795535848689024,5.8282863430706202,11
5.8282863430706202,5.8610368374522164,14
5.8610368374522164,5.8937873318338116,17
5.8937873318338116,5.9265378262154069,11
5.9265378262154069,5.9592883205970031,12
5.9592883205970031,5.9920388149785992,14
5.9920388149785992,6.0247893093601945,12
6.0247893093601945,6.0575398037417898,17
6.0575398037417898,6.090290298123386,10
6.090290298123386,6.1230407925049821,19
6.1230407925049821,6.1557912868865774,13
6.1557912868865774,6.1885417812681727,11
6.1885417812681727,6.2212922756497688,13
6.2212922756497688,6.254042770031365,16
6.254042770031365,6.2867932644129603,12
6.2867932644129603,6.3195437587945564,6
6.3195437587945564,6.3522942531761526,6
6.3522942531761526,6.3850447475577479,8
6.3850447475577479,6.4177952419393431,7
6.4177952419393431,6.4505457363209393,6
6.4505457363209393,6.4832962307025355,7
6.4832962307025355,6.5160467250841307,3
6.5160467250841307,6.548797219465726,2
6.548797219465726,6.5815477138473222,7
6.5815477138473222,6.6142982082289183,5
6.6142982082289183,6.6470487026105136,5
6.6470487026105136,6.6797991969921089,4
6.6797991969921089,6.7125496913737051,3
